id,state,abbr,healthcare,poverty,smoke,age,income,obesity
1,Alabama,AL,13.9,19.3,21.1,38.6,42830,33.5
2,Alaska,AK,15,11.2,19.9,33.3,71583,29.7
4,Arizona,AZ,14.4,18.2,16.5,36.9,50068,28.9
5,Arkansas,AR,16.3,18.9,24.7,37.8,41262,35.9
6,California,CA,14.8,16.4,12.9,36,61933,24.7
8,Colorado,CO,12.8,12,15.7,36.3,61303,21.3
9,Connecticut,CT,8.7,10.8,15.4,40.5,70048,26.3
10,Delaware,DE,8.7,12.5,19.9,39.6,59716,30.7
11,Washington D.C.,DC,8.3,17.7,16.4,33.8,71648,21.7
12,Florida,FL,17.6,16.5,17.7,41.6,47463,26.2
13,Georgia,GA,20.9,18.3,17.4,36.1,49321,30.5
15,Hawaii,HI,8.1,11.4,14.1,38.1,69592,22.1
16,Idaho,ID,16.5,14.8,15.9,35.9,47861,28.9
17,Illinois,IL,11.9,14.4,16.5,37.5,57444,29.3
18,Indiana,IN,14.8,15.2,22.9,37.4,49446,32.7
19,Iowa,IA,7.7,12.2,18.5,38.2,53712,30.9
20,Kansas,KS,14.5,13.6,18.1,36.2,52504,31.3
21,Kentucky,KY,10,19.1,26.2,38.5,42958,31.6
22,Louisiana,LA,18.7,19.8,24,36.1,44555,34.9
23,Maine,ME,11,14.1,19.3,44.1,49462,28.2
24,Maryland,MD,9.2,10.1,14.6,38.3,73971,29.6
25,Massachusetts,MA,4.6,11.6,14.7,39.4,69160,23.3
26,Michigan,MI,10.3,16.2,21.2,39.6,49847,30.7
27,Minnesota,MN,7.3,11.5,16.3,37.8,61481,27.6
28,Mississippi,MS,18.8,21.5,23,36.7,39680,35.5
29,Missouri,MO,12.9,15.5,20.6,38.5,48363,30.2
30,Montana,MT,12.9,15.4,19.9,39.6,46328,26.4
31,Nebraska,NE,12.4,12.4,17.3,36.2,52686,30.2
32,Nevada,NV,17.1,15.2,17,37.4,51450,27.7
33,New Hampshire,NH,11.4,9.2,17.5,42.5,66532,27.4
34,New Jersey,NJ,12.5,11.1,15.1,39.4,71919,26.9
35,New Mexico,NM,15.4,21.3,19.2,37.2,44803,28.4
36,New York,NY,12.3,15.9,14.4,38.2,58878,27
37,North Carolina,NC,16.1,17.2,19.1,38.3,46556,29.7
38,North Dakota,ND,8.8,11.5,19.9,35.1,59029,32.2
39,Ohio,OH,10.2,15.8,21,39.4,49308,32.6
40,Oklahoma,OK,13.9,16.6,21.1,36.2,47529,33
41,Oregon,OR,11,16.6,17,39.3,51075,27.9
42,Pennsylvania,PA,10.1,13.6,19.9,40.7,53234,30.2
44,Rhode Island,RI,8,14.3,16.3,39.8,54891,27
45,South Carolina,SC,17.1,18,21.5,38.8,45238,32.1
46,South Dakota,SD,9.9,14.2,18.6,36.6,50979,29.8
47,Tennessee,TN,14.2,18.3,24.2,38.6,44361,31.2
48,Texas,TX,24.9,17.2,14.5,34.3,53035,31.9
49,Utah,UT,13.9,11.7,9.7,30.5,60922,25.7
50,Vermont,VT,6.7,12.2,16.4,42.8,54166,24.8
51,Virginia,VA,13.1,11.8,19.5,37.7,64902,28.5
53,Washington,WA,10.7,13.2,15.3,37.5,61366,27.3
54,West Virginia,WV,10.1,18.3,26.7,41.9,41059,35.7
55,Wisconsin,WI,8.5,13.2,17.4,39.2,52622,31.2
56,Wyoming,WY,15.1,11.2,19.5,36.6,57055,29.5